,Organisation Name,OrgUrls,desc,tech,topic,site,number of Projects
0, Synfig ,https://summerofcode.withgoogle.com//programs/2022/organizations/synfig,Open-source 2D animation software,"python, c++, gtk, gtkmm","2d/3d graphics, animation, vector graphics",https://synfig.org,2
1, FRRouting ,https://summerofcode.withgoogle.com//programs/2022/organizations/frrouting,"Routing suite including BGP, IS-IS, LDP, OSPF, PIM","c, linux, networking, linux kernel, routing","networking, software defined networking, linux, routing, systems",https://frrouting.org/,1
2, LibreHealth ,https://summerofcode.withgoogle.com//programs/2022/organizations/librehealth,Healthcare for Humanity,"python, javascript, android, java, dart/flutter","web, deep learning, hfoss, radiology, mobile apps",https://librehealth.io,4
3, LibreOffice ,https://summerofcode.withgoogle.com//programs/2022/organizations/libreoffice,LibreOffice is a free and open source office suite,"python, java, c++","office suite, desktop application, end user application",https://www.libreoffice.org/,2
4, Ste||ar group ,https://summerofcode.withgoogle.com//programs/2022/organizations/stear-group,Shaping a Scalable Future,"c++, hpc","library, optimization, parallel algorithms, hpx, application",http://stellar-group.org/,4
5, The FreeBSD Project ,https://summerofcode.withgoogle.com//programs/2022/organizations/the-freebsd-project,An OS for servers to embedded devices,"c, llvm, assembly, make, POSIX shell","virtualization, operating system, Embedded System",https://www.freebsd.org/,7
6, libvirt ,https://summerofcode.withgoogle.com//programs/2022/organizations/libvirt,Virtualization abstraction library,"kvm, hypervisor, qemu, lxc","virtualization, library",https://libvirt.org/,2
7, Jitsi ,https://summerofcode.withgoogle.com//programs/2022/organizations/jitsi,State-of-the-art video conferencing,"javascript, java, react, kotlin, webrtc","video, multimedia, video conferencing, WebRTC",https://jitsi.org,6
8, FOSSology ,https://summerofcode.withgoogle.com//programs/2022/organizations/fossology,Open Source License Compliance by OSS,"python, postgresql, c/c++, go, php","automation, spdx, license compliance, nlp, compliance automation",https://fossology.org,6
9, OSGeo (Open Source Geospatial Foundation) ,https://summerofcode.withgoogle.com//programs/2022/organizations/osgeo-open-source-geospatial-foundation,The Open Source Geospatial Foundation,"c, python, javascript, java, c++","open science, gis, citizen science, geolocation, mapping",https://www.osgeo.org/,6
10, OpenStreetMap ,https://summerofcode.withgoogle.com//programs/2022/organizations/openstreetmap,Create and distribute free geodata for the world,"javascript, java, c++","databases, web, routing, ui, geodata",https://www.openstreetmap.org/,4
11, Audacity ,https://summerofcode.withgoogle.com//programs/2022/organizations/audacity,"Free, open source, cross-platform audio software","c++, qt, cmake, wxwidgets, VST","audio, editing, compression, Sound, Effects",https://www.audacityteam.org/,1
12, R project for statistical computing ,https://summerofcode.withgoogle.com//programs/2022/organizations/r-project-for-statistical-computing,R software for statistical computing & graphics,"c, javascript, c++, r-project, fortran","visualization, machine learning, data science, graphics, statistics",https://www.r-project.org/,13
13, Micro Electronics Research Lab - UITU ,https://summerofcode.withgoogle.com//programs/2022/organizations/micro-electronics-research-lab-uitu,Accelerating Engineering Innovation,"RISCV, Processor, Hardware, systemonchip, memory","iot, embedded, Processor, System on Chip, RISC-V",https://www.merledupk.org,3
14, moja global ,https://summerofcode.withgoogle.com//programs/2022/organizations/moja-global,Collaboration for change,"python, javascript, c++, docker, Data-Science","climate monitoring, nature based solutions, land system modelling",https://moja.global,3
15, Global Alliance for Genomics and Health ,https://summerofcode.withgoogle.com//programs/2022/organizations/global-alliance-for-genomics-and-health,We develop genomics tools to benefit human health,"python, postgresql, java, react, rust","web, genomics, bioinformatics, genetics, standards",https://ga4gh.org,8
16, Kodi ,https://summerofcode.withgoogle.com//programs/2022/organizations/kodi,The ultimate entertainment center,"python, opengl, c++, ffmpeg, sqlite","games, audio, video, media, tv",https://kodi.tv,1
17, Haiku ,https://summerofcode.withgoogle.com//programs/2022/organizations/haiku,Operating system that targets personal computing.,"c++, posix, unix","desktop, kernel, network, media, gui",https://www.haiku-os.org,3
18, Purr Data ,https://summerofcode.withgoogle.com//programs/2022/organizations/purr-data,Realtime Audio/Visual Programming Environment,"c, javascript, html5, Emscripten","web, graphics, audio, realtime",https://www.purrdata.net/,1
19, Open Technologies Alliance - GFOSS ,https://summerofcode.withgoogle.com//programs/2022/organizations/open-technologies-alliance-gfoss,Promote Open Standards and Open Source,"javascript, c/c++, nodejs, python 3, Machine Learning (ML)","web, robotics, open hardware, c++, Artificial Inteligence",http://www.gfoss.eu,9
20, X.Org Foundation ,https://summerofcode.withgoogle.com//programs/2022/organizations/xorg-foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)","opengl, vulkan, x11, wayland, DRM","graphics, kernel, drivers",https://www.x.org,3
21, Machine Learning for Science (ML4SCI) ,https://summerofcode.withgoogle.com//programs/2022/organizations/machine-learning-for-science-ml4sci,Machine learning applications in science,"python, machine learning, c++, data analysis, artificial intelligence","machine learning, science and medicine, algorithms, physics, astronomy",https://ml4sci.org/,20
22, rocket.chat ,https://summerofcode.withgoogle.com//programs/2022/organizations/rocketchat,Open source communications platform for the AI age,"javascript, typescript, node, LLM, generative ai","communications, messaging, group chat, Team Collaboration, Chat platform",https://github.com/RocketChat,12
23, GNOME Foundation ,https://summerofcode.withgoogle.com//programs/2022/organizations/gnome-foundation,A diverse and sustainable free software desktop.,"c, linux, rust, gtk, Flatpak","operating systems, desktop, graphics, open source, apps",https://gnome.org,9
24, cBioPortal for Cancer Genomics ,https://summerofcode.withgoogle.com//programs/2022/organizations/cbioportal-for-cancer-genomics,Aid discovery in complex cancer genomics data,"mysql, javascript, java, react, typescript","genomics, cancer, bioinformatics, big data, precision medicine",https://www.cbioportal.org/,2
25, Public Lab ,https://summerofcode.withgoogle.com//programs/2022/organizations/public-lab,Tools for communities to measure pollution,"javascript, ruby on rails","science, environment, community, documentation, forum",https://publiclab.org,3
26, Keptn ,https://summerofcode.withgoogle.com//programs/2022/organizations/keptn,Event-driven orchestration of cloud-native apps,"golang, kubernetes, angular, Helm","cloud, devops, sre, CloudNative, Operations",https://keptn.sh/,3
27, Flashrom ,https://summerofcode.withgoogle.com//programs/2022/organizations/flashrom,"Reading, writing, verifying, erasing flash chips","c, x86, bios, rom, spi","hardware, drivers, firmware, flash chips, low level programming",https://www.flashrom.org/,1
28, MariaDB ,https://summerofcode.withgoogle.com//programs/2022/organizations/mariadb,The fastest growing Open Source Database,"python, javascript, c/c++, perl, databases","Database Engines, SQL Features",https://mariadb.org,6
29, INCF ,https://summerofcode.withgoogle.com//programs/2022/organizations/incf,An open & FAIR neuroscience standards organization,"python, javascript, java, c++, gpu","machine learning, data visualization, neuroscience, brain modelling, neuroimage processing",https://www.incf.org,35
30, Sugar Labs ,https://summerofcode.withgoogle.com//programs/2022/organizations/sugar-labs,Learning software for children,"python, gtk, typescript, javascipt","education, games, desktop",https://sugarlabs.org,9
31, BeagleBoard.org ,https://summerofcode.withgoogle.com//programs/2022/organizations/beagleboardorg,Open hardware computing for educators and makers,"linux, fpga, risc-v, dsp, Zephyr RTOS","robotics, iot, ai, software defined radio, Personal Server",https://www.beagleboard.org,4
32, Robolectric ,https://summerofcode.withgoogle.com//programs/2022/organizations/robolectric,Fast unit testing runtime for Android,"android, java, jvm, asm","testing, mobile",http://robolectric.org/,2
33, PowerDNS ,https://summerofcode.withgoogle.com//programs/2022/organizations/powerdns,PowerDNS provides open source DNS software,"c++, DNS","DNS recursive solutions, Authoritative DNS software",https://www.powerdns.com/,1
34, OpenAstronomy ,https://summerofcode.withgoogle.com//programs/2022/organizations/openastronomy,Look at the Universe with the power of open source,"c, python, julia","image processing, astronomy, solar physics, high energy astrophysics",https://openastronomy.org/,8
35, Our World In Data ,https://summerofcode.withgoogle.com//programs/2022/organizations/our-world-in-data,Explaining the world's biggest problems with data,"python, mysql, d3, typescript, pandas","open data, data visualisation, Data cataloging",https://ourworldindata.org/,2
36, omegaUp ,https://summerofcode.withgoogle.com//programs/2022/organizations/omegaup,Open CS Education as a catalyst for social change,"python, mysql, php, typescript, vue.js","education, web, cloud, edtech, UX/UI",https://omegaup.org,1
37, Intel Video and Audio for Linux ,https://summerofcode.withgoogle.com//programs/2022/organizations/intel-video-and-audio-for-linux,We enable Linux Audio and Video for Intel,"c/c++, opengl, Codec, Media, Imaging","media, imaging, Codec",https://www.intel.com/content/www/us/en/developer/topic-technology/open/opensource-media-framework/overview.html,2
38, Forschungszentrum Jülich ,https://summerofcode.withgoogle.com//programs/2022/organizations/forschungszentrum-julich,Shaping change: open source for Big Science,"python, mpi, high performance computing, pytorch, gpu","neuroscience, data analytics, data-intensive science, earth-system monitoring, space science",https://fz-juelich.de/en,4
39, CCExtractor Development ,https://summerofcode.withgoogle.com//programs/2022/organizations/ccextractor-development,"TV, Rust, Flutter, Linux, VR and C. In any order.","c, linux, rust, flutter","vr, linux, video, subtitles, mobile",https://www.ccextractor.org,10
40, OpenAFS ,https://summerofcode.withgoogle.com//programs/2022/organizations/openafs,An opensource distributed filesystem product.,"c, python, git, ansible, filesystems","testing, network, storage, filesystems",https://www.openafs.org,2
41, Gentoo Foundation ,https://summerofcode.withgoogle.com//programs/2022/organizations/gentoo-foundation,"A flexible, source-based Linux distribution.","c, python, shell, linux, bash","operating systems, security, embedded, init, package",https://www.gentoo.org/,4
42, syslog-ng ,https://summerofcode.withgoogle.com//programs/2022/organizations/syslog-ng,"Enhanced log daemon, w/ wide range of I/O methods","c, python, sql, elasticsearch, kafka","cloud, data processing pipeline, reliable log transfer, logging, high-performance data processing",https://www.syslog-ng.com/,2
43, GeomScale ,https://summerofcode.withgoogle.com//programs/2022/organizations/geomscale,Scalable geometric and statistical software,"python, c++, r, jupyter, github-actions","mathematics, data science, computational biology, computational geometry, statistics",https://geomscale.github.io,6
44, checkstyle ,https://summerofcode.withgoogle.com//programs/2022/organizations/checkstyle,Helps to adheres of Java coding standard,"java, antlr","static code analysis, code review tool, coding standards, coding conventions",https://checkstyle.org,1
45, Jenkins X ,https://summerofcode.withgoogle.com//programs/2022/organizations/jenkins-x,Accelerate Your Continuous Delivery on Kubernetes,"golang, kubernetes, gitops","cloud, CI/CD",https://jenkins-x.io/,2
46, Scala Center ,https://summerofcode.withgoogle.com//programs/2022/organizations/scala-center,Guide and support the Scala community,"scala, scala.js, scala native","education, compilers, tooling",https://scala-lang.org/,4
47, Oppia Foundation ,https://summerofcode.withgoogle.com//programs/2022/organizations/oppia-foundation,"Free platform for interactive, tutor-like lessons","python, google app engine, angular, typescript, Apache Beam","education, web, ai, nonprofit, social impact",https://www.oppia.org,14
48, PostgreSQL ,https://summerofcode.withgoogle.com//programs/2022/organizations/postgresql,The Most Advanced Open Source Relational Database,"c, python, postgresql, javascript, go","web, database, ui, sql, Benchmark",https://postgresql.org,7
49, The Palisadoes Foundation ,https://summerofcode.withgoogle.com//programs/2022/organizations/the-palisadoes-foundation,Social media and member management for non-profits,"flutter, graphql, typescript, reactjs, MERN","web, api, database, ai, mobile",https://www.palisadoes.org,8
50, The Tor Project ,https://summerofcode.withgoogle.com//programs/2022/organizations/the-tor-project,Defend yourself against tracking and surveillance.,"c, python, web, rust","security, privacy, anti-censorship, Human Rights, Surveillance",https://www.torproject.org/,3
51, PEcAn Project ,https://summerofcode.withgoogle.com//programs/2022/organizations/pecan-project,Develop and promote tools for ecosystem modeling,"r, docker, api, geospatial","data science, ecosystem models, scientific visualization, climate science, Ecological Forecasting,",https://pecanproject.github.io/,5
52, Orcasound ,https://summerofcode.withgoogle.com//programs/2022/organizations/orcasound,Humans & AI listening together to save the whales.,"python, javascript, ffmpeg, NextJs, GitHub Actions","web, audio, ai, acoustics, community science",https://orcasound.net,4
53, JdeRobot ,https://summerofcode.withgoogle.com//programs/2022/organizations/jderobot,Toolkit for developing Robotics applications,"python, ros, gazebo, opencv, tensorflow","education, artificial intelligence, robotics, computer vision, developer tools",http://jderobot.github.io,6
54, coreboot ,https://summerofcode.withgoogle.com//programs/2022/organizations/coreboot,"Fast, secure and flexible BIOS firmware","c, assembly, arm, x86","hardware, drivers, firmware, boot loader, BIOS",https://coreboot.org,1
55, VideoLAN ,https://summerofcode.withgoogle.com//programs/2022/organizations/videolan,Open Source Multimedia for everyone!,"c, c++, qt, assembly, video","audio, streaming, video, codecs, media database",https://www.videolan.org,6
56, MDAnalysis ,https://summerofcode.withgoogle.com//programs/2022/organizations/mdanalysis,Analysis of molecular simulations data with Python,"python, cython, c/c++","science, computational-chemistry, high-performance-computing, molecular-simulation, soft-matter-physics",https://www.mdanalysis.org,2
57, Genome Assembly and Annotation ,https://summerofcode.withgoogle.com//programs/2022/organizations/genome-assembly-and-annotation,Providing freely accessible genomic data,"python, mysql, docker, pytorch, nextflow","machine learning, genomics, big data, cloud, hpc",https://www.ebi.ac.uk/,6
58, Center for Translational Data Science ,https://summerofcode.withgoogle.com//programs/2022/organizations/center-for-translational-data-science,Develop translational data science.,"python, aws","bioinformatics, data science, cloud, Data Meshes",https://ctds.uchicago.edu,2
59, Red Hen Lab ,https://summerofcode.withgoogle.com//programs/2022/organizations/red-hen-lab,Research on Multimodal Communication,"python, machine learning, nlp, ai, data science","data science, ai, language, multimodal communication, gesture",http://www.redhenlab.org,12
60, Mathesar ,https://summerofcode.withgoogle.com//programs/2022/organizations/mathesar,Webapp providing a UX-first interface to databases,"python, postgresql, javascript, django, svelte","databases, web, data, nonprofit, self-hosted",https://mathesar.org/,3
61, The ENIGMA Team ,https://summerofcode.withgoogle.com//programs/2022/organizations/the-enigma-team,A free rapid game development environment.,"opengl, c++, qt5, recursive-descent","graphics, game development, compiler, programming, game design",https://enigma-dev.org,3
62, Free and Open Source Silicon Foundation ,https://summerofcode.withgoogle.com//programs/2022/organizations/free-and-open-source-silicon-foundation,Working together for Free and Open Source Silicon,"verilog, risc-v, compiler, web development","hardware, debug, web services, simulation, electronic design tools",https://www.fossi-foundation.org,8
63, Dart ,https://summerofcode.withgoogle.com//programs/2022/organizations/dart,Dart is a client language for apps on any platform,"flutter, dart","programming languages, mobile apps",https://dart.dev,3
64, The JPF team ,https://summerofcode.withgoogle.com//programs/2022/organizations/the-jpf-team,JPF is a special JVM for software verification,"android, java, distributed systems, jvm, smt solvers","model checking, symbolic execution, verification of concurrent systems, program analysis, test input generation",https://github.com/javapathfinder/jpf-core/wiki,2
65, Apache Software Foundation ,https://summerofcode.withgoogle.com//programs/2022/organizations/apache-software-foundation,Open source software to the public free of charge,"c, java, c++","big data, cloud, libraries, other",https://apache.org,33
66, OpenVINO Toolkit ,https://summerofcode.withgoogle.com//programs/2022/organizations/openvino-toolkit,Make AI inference faster and easier to deploy!,"python, c++, x86","ai, deep learning, neural network, inference, gen ai",https://docs.openvino.ai/,3
67, SymPy ,https://summerofcode.withgoogle.com//programs/2022/organizations/sympy,SymPy is a Python library for symbolic mathematics,"python, numpy, jupyter","mathematics, physics, symbolic mathematics",https://www.sympy.org/,3
68, GNU Image Manipulation Program ,https://summerofcode.withgoogle.com//programs/2022/organizations/gnu-image-manipulation-program,GIMP is a cross-platform image editor,"c, GEGL","graphics, design, photography, illustration",https://www.gimp.org/,1
69, Plone Foundation ,https://summerofcode.withgoogle.com//programs/2022/organizations/plone-foundation,"Python-based CMS, with React front-end.","python, javascript, react","web, cms",https://plone.org,4
70, CERN-HSF ,https://summerofcode.withgoogle.com//programs/2022/organizations/cern-hsf,Umbrella for Particle Physics-related projects,"python, c/c++, data analysis, artificial intelligence, container orchestration","machine learning, big data, algorithmics, particle physics, Performance Optimisation",http://hepsoftwarefoundation.org/activities/gsoc.html,21
71, Mayor's Office of New Urban Mechanics ,https://summerofcode.withgoogle.com//programs/2022/organizations/mayors-office-of-new-urban-mechanics,Exploring new approaches to civic life.,"python, javascript, ruby, tensorflow","web, machine learning, gis, civic tech, analytics",https://www.boston.gov/departments/innovation-and-technology,2
72, Xfce ,https://summerofcode.withgoogle.com//programs/2022/organizations/xfce,Lightweight and flexible linux desktop environment,"c, gtk","desktop, customization",https://www.xfce.org/,3
73, RADAR-base ,https://summerofcode.withgoogle.com//programs/2022/organizations/radar-base,Improve people's quality of life using patient generated data,"java, kotlin, docker, angular, kafka","web, mhealth, remote patient monitoring, micro-services, devices",https://radar-base.org/,3
74, GRAME ,https://summerofcode.withgoogle.com//programs/2022/organizations/grame,Domain specific language for audio,"c, python, javascript, c++, typescript","audio, compiler, digital signal processing, function programming language",https://faust.grame.fr,1
75, Mixxx ,https://summerofcode.withgoogle.com//programs/2022/organizations/mixxx,DJ Mixing App With Powerful Features For All DJs,"javascript, c++, qt","music, dj, streaming",https://mixxx.org,2
76, ArduPilot ,https://summerofcode.withgoogle.com//programs/2022/organizations/ardupilot,World's most advanced autonomous vehicle software,"python, lua, c++, pixhawk","robotics, Drone, autonomous vehicle, UGV, unmanned vehicle",https://ardupilot.org/,4
77, MetaBrainz Foundation Inc ,https://summerofcode.withgoogle.com//programs/2022/organizations/metabrainz-foundation-inc,"Open music / book metadata, music recommendations","python, machine learning, perl, postgres, spark","machine learning, open data, music, books, music social network",https://metabrainz.org,7
78," Department of Biomedical Informatics, Emory University ",https://summerofcode.withgoogle.com//programs/2022/organizations/department-of-biomedical-informatics-emory-university,Biomedical research to advance healthcare,"python, javascript, java, dicom, Colab","science and medicine, data integration, workflows, radiology, ML/AL",https://med.emory.edu/departments/biomedical-informatics/,8
79, IOOS ,https://summerofcode.withgoogle.com//programs/2022/organizations/ioos,"Our eyes on the ocean, coasts, and Great Lakes","python, javascript, java, ocean science, Scientific Python","open data, data science, data management, Oceanography",https://ioos.noaa.gov/,4
80, Casbin ,https://summerofcode.withgoogle.com//programs/2022/organizations/casbin,Authorization library that supports RBAC and ABAC,"javascript, java, go, OIDC, OAuth","security, cloud, authorization, IAM, Authentication",https://casbin.org,10
81, Swift ,https://summerofcode.withgoogle.com//programs/2022/organizations/swift,"Fast, safe, and expressive programming language","c++, cmake, swift","compilers, cross-platform, Packages, Server development, Standard Libraries",https://swift.org,5
82, CNCF ,https://summerofcode.withgoogle.com//programs/2022/organizations/cncf,Building sustainable ecosystems for cloud native,"prometheus, kubernetes, OpenTelemetry, envoy","cloud, cloud native, observability",https://cncf.io,16
83, Chromium ,https://summerofcode.withgoogle.com//programs/2022/organizations/chromium-lj,"Fast, seamless, safe, and reliable web for all","python, javascript, java, c++, git","web, browser, operating-system",https://chromium.org,14
84, SCoRe Lab ,https://summerofcode.withgoogle.com//programs/2022/organizations/score-lab,SCORE Lab develops FOSS softwares for everyone!!!,"python, java, go, nodejs, reactjs","security, machine learning, cloud, ai",https://scorelab.org/,21
85, TianoCore ,https://summerofcode.withgoogle.com//programs/2022/organizations/tianocore,"Modern, open source, UEFI BIOS firmware","c, python, rust, golang, uefi","firmware, uefi, edk2, acpi, BIOS",https://www.tianocore.org/,3
86, CircuitVerse.org ,https://summerofcode.withgoogle.com//programs/2022/organizations/circuitverseorg,Build and learn logic circuits in the cloud!,"javascript, rails, canvas, vue","education, web, simulation, pedagogy, digital logic design",http://circuitverse.org/,4
87, MetaCall ,https://summerofcode.withgoogle.com//programs/2022/organizations/metacall,Simplifying the embedding of programming languages,"python, c++, rust, nodejs, docker","cloud, polyglot, faas, languages, ffi",https://metacall.io,5
88, Haskell.org ,https://summerofcode.withgoogle.com//programs/2022/organizations/haskellorg,Purely functional programming language,"haskell, ghc","compilers, programming languages, functional programming, programming tools",https://haskell.org/,10
89, Debian ,https://summerofcode.withgoogle.com//programs/2022/organizations/debian,The Universal Operating System,"python, java, perl, c++, rust","cloud, ai, CI/CD, Android SDK, HPC MPI Benchmarking",https://debian.org,2
90, CHIPS Alliance ,https://summerofcode.withgoogle.com//programs/2022/organizations/chips-alliance,"Open source IP, tools & standards for ASIC/FPGA","fpga, chisel, risc-v, systemverilog, ASIC","soc, IP cores, ASIC design, HDL, chiplets",https://chipsalliance.org/,3
91, TensorFlow ,https://summerofcode.withgoogle.com//programs/2022/organizations/tensorflow,TensorFlow is a ML framework for everyone.,"machine learning, tensorflow, ai, Jax, keras","education, research, machine learning",https://tensorflow.org,22
92, LEAP Encryption Access Project ,https://summerofcode.withgoogle.com//programs/2022/organizations/leap-encryption-access-project,Privacy should not be a priviledge,"java, golang, qt5, docker, ansible","privacy, vpn, Circumvention",https://leap.se,1
93, XMPP Standards Foundation ,https://summerofcode.withgoogle.com//programs/2022/organizations/xmpp-standards-foundation,XSF develops an open-standard messaging protocol,"gtk, vala, xmpp, swift, Objective C","instant messaging, chat, WebRTC, Jingle, Real-Time Communication",https://xmpp.org/,1
94, GNU Compiler Collection (GCC) ,https://summerofcode.withgoogle.com//programs/2022/organizations/gnu-compiler-collection-gcc,GNU compilers,"c/c++, gnu make, gnu autotools","compilers, developer tools, toolchain, openmp, link time optimization",https://gcc.gnu.org/,3
95, openSUSE Project ,https://summerofcode.withgoogle.com//programs/2022/organizations/opensuse-project,"Makers' choice for sysadmins, developers & users","python, c/c++, go, ruby, reactjs javascript","AIML, operating system developer tools, containers kubernetes, Security Cryptography, systems management",https://get.opensuse.org/,4
96, Python Software Foundation ,https://summerofcode.withgoogle.com//programs/2022/organizations/python-software-foundation,A programming language used for science & more,"python, javascript, c++, SBOM","security, visualization, compiler, modeling, Backup",https://python-gsoc.org/,28
